"ID","FSU_Serial_No","Stratum","Sub_Stratum_No","Hamlet_Group_Sub_Block_No","Second_Stage_Stratum_No","sex","Age","age_group5","age_group10","Multiplier_comb","Current_Weekly_Activity_Status","Current_Weekly_Activity_NIC_2008","urban","employment_status","industry","weekly_earnings","analysis_group"
"FSU44684S21SS01HG1SSS2HH02P01",44684,21,1,1,2,"Male",63,"60-64","60-69",878.94,11,42101,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU44540S04SS01HG1SSS3HH02P01",44540,4,1,1,3,"Male",62,"60-64","60-69",133,41,42101,1,"Employed","Construction",1150,"Male;60-64;Construction;Urban"
"FSU44558S14SS01HG1SSS2HH02P01",44558,14,1,1,2,"Male",61,"60-64","60-69",410.375,11,43211,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU45451S01SS03HG1SSS3HH02P01",45451,1,3,1,3,"Male",60,"60-64","60-69",27,51,41002,1,"Employed","Construction",800,"Male;60-64;Construction;Urban"
"FSU45438S01SS01HG1SSS2HH01P01",45438,1,1,1,2,"Male",60,"60-64","60-69",97.125,51,41001,1,"Employed","Construction",1200,"Male;60-64;Construction;Urban"
"FSU45481S01SS06HG1SSS2HH02P01",45481,1,6,1,2,"Male",60,"60-64","60-69",179.81,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU44306S12SS05HG1SSS3HH01P01",44306,12,5,1,3,"Male",60,"60-64","60-69",773.5,41,42101,1,"Employed","Construction",840,"Male;60-64;Construction;Urban"
"FSU44022S20SS01HG1SSS2HH02P01",44022,20,1,1,2,"Male",63,"60-64","60-69",4278.5,12,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU44003S20SS02HG2SSS2HH02P01",44003,20,2,2,2,"Male",62,"60-64","60-69",8690.5,51,41002,1,"Employed","Construction",585,"Male;60-64;Construction;Urban"
"FSU44813S21SS06HG1SSS2HH03P01",44813,21,6,1,2,"Male",60,"60-64","60-69",3348,31,43302,1,"Employed","Construction",1400,"Male;60-64;Construction;Urban"
"FSU44809S21SS07HG1SSS2HH04P01",44809,21,7,1,2,"Male",60,"60-64","60-69",1410.75,31,41001,1,"Employed","Construction",4000,"Male;60-64;Construction;Urban"
"FSU41996S08SS01HG1SSS3HH01P08",41996,8,1,1,3,"Male",62,"60-64","60-69",647.5,51,41001,1,"Employed","Construction",720,"Male;60-64;Construction;Urban"
"FSU41928S03SS02HG1SSS2HH04P01",41928,3,2,1,2,"Male",62,"60-64","60-69",998.875,51,41001,1,"Employed","Construction",450,"Male;60-64;Construction;Urban"
"FSU41969S04SS01HG1SSS2HH03P01",41969,4,1,1,2,"Male",60,"60-64","60-69",1982.5,51,41001,1,"Employed","Construction",1120,"Male;60-64;Construction;Urban"
"FSU41965S07SS01HG1SSS3HH03P01",41965,7,1,1,3,"Male",60,"60-64","60-69",5955,51,41001,1,"Employed","Construction",770,"Male;60-64;Construction;Urban"
"FSU41482S16SS01HG1SSS3HH02P01",41482,16,1,1,3,"Male",60,"60-64","60-69",712.25,51,41003,1,"Employed","Construction",910,"Male;60-64;Construction;Urban"
"FSU41174S15SS01HG1SSS2HH02P01",41174,15,1,1,2,"Male",60,"60-64","60-69",1344.19,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU41178S21SS01HG1SSS3HH01P01",41178,21,1,1,3,"Male",64,"60-64","60-69",44.375,51,41001,1,"Employed","Construction",540,"Male;60-64;Construction;Urban"
"FSU41164S04SS01HG1SSS2HH03P01",41164,4,1,1,2,"Male",63,"60-64","60-69",55,51,41001,1,"Employed","Construction",700,"Male;60-64;Construction;Urban"
"FSU41164S04SS01HG1SSS2HH04P01",41164,4,1,1,2,"Male",62,"60-64","60-69",55,51,41001,1,"Employed","Construction",600,"Male;60-64;Construction;Urban"
"FSU41165S24SS01HG1SSS3HH02P01",41165,24,1,1,3,"Male",60,"60-64","60-69",562.5,51,41001,1,"Employed","Construction",1050,"Male;60-64;Construction;Urban"
"FSU49406S02SS02HG1SSS2HH03P01",49406,2,2,1,2,"Male",60,"60-64","60-69",1487.375,12,42101,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU49172S02SS05HG1SSS1HH01P01",49172,2,5,1,1,"Male",60,"60-64","60-69",607.5,11,43303,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU49140S11SS02HG1SSS3HH01P01",49140,11,2,1,3,"Male",60,"60-64","60-69",1170.125,51,41001,1,"Employed","Construction",1050,"Male;60-64;Construction;Urban"
